Date,Industry_Vertical,Sub_Vertical,City,Invester_name,Investment_Type,Funding_Amount_in_cr,Startup_name,Year
2020-01-09,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,1600.0,Shuttl,2020
2020-01-13,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,64.39,Mamaearth,2020
2020-01-09,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,146.87,Fashor,2020
2020-01-02,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Funding Round,14.4,Zomato,2020
2020-01-13,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,72.0,Ecozen,2020
2020-01-10,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,1200.0,Cardekho,2020
2019-12-12,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,48.0,Dhruva Space,2019
2019-12-06,E-commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,560.0,Rivigo,2019
2019-12-03,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed Funding Round,400.0,Healthians,2019
2019-12-13,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd",Series F,160.0,Licious,2019
2019-12-17,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,96.0,Incred,2019
2019-12-16,E-commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,240.0,Trell,2019
2019-12-16,Finance,Non-Banking Financial Company,Mumbai,Undefined,Debt Funding,47.2,Rein Games,2019
2019-12-14,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Funding Round,16.0,Lenskart.Com,2019
2019-12-11,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Funding Round,400.0,Freshworks,2019
2019-12-20,E-commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,1848.0,Misters,2019
2019-11-13,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,1200.0,Sunstone Eduversity Pvt. Ltd,2019
2019-11-14,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,3.89,Ninjacart,2019
2019-11-13,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed Funding Round,12.0,Aye Finance,2019
2019-11-15,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,208.0,Ebikego,2019
2019-11-20,Fin-Tech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,139.29,Digital Mall Asia,2019
2019-11-12,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding Round,10.4,Medikabazaar,2019
2019-11-20,SaaS,Recovery software,San Jose,"Altimeter Capital, Sutter Hill Ventures",Series C,1080.0,Vogo Automotive,2019
2019-11-11,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed Funding Round,2.4,Furtados School Of Music,2019
2019-11-19,E-commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding Round,1760.0,Paytm,2019
2019-11-18,Health Care,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,126.4,Dunzo,2019
2019-11-15,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,2264.0,Udaan,2019
2019-11-19,Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,Undefined,1600.0,Fpl Technologies,2019
2019-11-25,Fin-Tech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,8000.0,Cashflo,2019
